,uf,cnae_grupo,contagem,seq,flag,contagem_ttl,%,flag_rede
131,MT,"Comércio varejista de produtos alimentícios, bebidas e fumo",507,5,0,11671,0.04344100762573901,0
132,MT,Manutenção e reparação de veículos automotores,426,6,0,11671,0.0365007283009168,0
133,MT,Outros serviços especializados para construção,543,4,0,11671,0.046525576214548885,0
134,MT,Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,331,8,0,11671,0.028360894524890753,0
135,MT,Publicidade,415,7,0,11671,0.03555822123211379,0
136,MT,Outros,6069,11,0,11671,0.520006854596864,0
137,MS,Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,1029,1,0,9526,0.10802015536426622,0
138,MS,Restaurantes e outros serviços de alimentação e bebidas,605,3,0,9526,0.06351039260969978,0
139,MS,Outras atividades de serviços pessoais,769,2,0,9526,0.0807264329204283,0
140,MS,"Comércio varejista de produtos alimentícios, bebidas e fumo",402,5,0,9526,0.04220029393239555,0
141,MS,Manutenção e reparação de veículos automotores,378,6,0,9526,0.0396808733991182,0
142,MS,Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,281,9,0,9526,0.029498215410455594,0
143,MS,Outros serviços especializados para construção,411,4,0,9526,0.04314507663237455,0
144,MS,Publicidade,322,7,0,9526,0.03380222548813773,0
145,MS,Outros,4786,11,0,9526,0.5024144446777241,0
146,MG,Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,7431,1,0,84042,0.0884200756764475,0
147,MG,Restaurantes e outros serviços de alimentação e bebidas,5327,3,0,84042,0.06338497417957688,0
148,MG,Outras atividades de serviços pessoais,6678,2,0,84042,0.07946026986506746,0
149,MG,"Comércio varejista de produtos alimentícios, bebidas e fumo",3508,4,0,84042,0.04174103424478237,0
150,MG,Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,2395,7,0,84042,0.028497655933937792,0
151,MG,Manutenção e reparação de veículos automotores,2325,9,0,84042,0.027664739059041907,0
152,MG,Outros serviços especializados para construção,3144,5,0,84042,0.03740986649532377,0
153,MG,Publicidade,2681,6,0,84042,0.03190071630851241,0
154,MG,Outros,45971,11,0,84042,0.5470003093691249,0
155,MA,Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,957,1,0,9283,0.10309167295055478,0
156,MA,Comércio varejista não-especializado,668,2,0,9283,0.07195949585263385,0
157,MA,"Comércio varejista de produtos alimentícios, bebidas e fumo",594,3,0,9283,0.0639879349348271,0
158,MA,Restaurantes e outros serviços de alimentação e bebidas,507,5,0,9283,0.05461596466659485,0
159,MA,"Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos",363,8,0,9283,0.039103738015727675,0
160,MA,Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,409,7,0,9283,0.04405903264031025,0
161,MA,Outras atividades de serviços pessoais,446,6,0,9283,0.048044813099213615,0
162,MA,Atividades de associações de defesa de direitos sociais,553,4,0,9283,0.059571259291177424,0
163,MA,Atividades de organizações associativas não especificadas anteriormente,333,9,0,9283,0.035872024130130346,0
164,MA,Outros,4175,11,0,9283,0.44974684907896156,0
165,GO,Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,2183,1,0,23678,0.09219528676408481,0
166,GO,Restaurantes e outros serviços de alimentação e bebidas,1560,3,0,23678,0.06588394290058282,0
167,GO,Outras atividades de serviços pessoais,1783,2,0,23678,0.07530196807162767,0
168,GO,"Comércio varejista de produtos alimentícios, bebidas e fumo",1168,4,0,23678,0.04932849058197483,0
169,GO,Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,762,6,0,23678,0.03218177210913084,0
170,GO,Comércio varejista não-especializado,641,10,0,23678,0.027071543204662554,0
171,GO,Manutenção e reparação de veículos automotores,685,8,0,23678,0.02892980826083284,0
172,GO,Publicidade,912,5,0,23678,0.03851676661880226,0
173,GO,Confecção de artigos do vestuário e acessórios,664,9,0,23678,0.02804290902947884,0
174,GO,Outros,12625,11,0,23678,0.5331953712306783,0
175,ES,Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,1589,1,0,16544,0.09604690522243714,0
176,ES,Restaurantes e outros serviços de alimentação e bebidas,1332,2,0,16544,0.08051257253384914,0
177,ES,Outras atividades de serviços pessoais,1240,3,0,16544,0.07495164410058026,0
178,ES,"Comércio varejista de produtos alimentícios, bebidas e fumo",712,5,0,16544,0.043036750483559,0
179,ES,Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,464,8,0,16544,0.02804642166344294,0
180,ES,Outros serviços especializados para construção,715,4,0,16544,0.04321808510638298,0
181,ES,Manutenção e reparação de veículos automotores,432,10,0,16544,0.02611218568665377,0
182,ES,"Serviços de catering, bufê e outros serviços de comida preparada",458,9,0,16544,0.02768375241779497,0
183,ES,Outros,8568,11,0,16544,0.5178916827852998,0
184,DF,Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,964,2,0,12311,0.07830395581187556,0
185,DF,Outras atividades de serviços pessoais,1130,1,0,12311,0.09178783202014458,0
186,DF,Restaurantes e outros serviços de alimentação e bebidas,791,3,0,12311,0.06425148241410121,0
187,DF,"Comércio varejista de produtos alimentícios, bebidas e fumo",451,6,0,12311,0.0366339046381285,0
188,DF,Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,362,7,0,12311,0.029404597514418,0
189,DF,Outras atividades de ensino,551,4,0,12311,0.044756721631061654,0
190,DF,Publicidade,488,5,0,12311,0.03963934692551377,0
191,DF,"Serviços de catering, bufê e outros serviços de comida preparada",323,9,0,12311,0.026236698887174073,0
192,DF,Manutenção e reparação de veículos automotores,250,10,0,12311,0.020307042482332872,0
193,DF,Outros,6646,11,0,12311,0.5398424173503371,0
194,CE,Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,2281,1,0,22442,0.10163978255057482,0
195,CE,Comércio varejista não-especializado,1670,2,0,22442,0.07441404509402014,0
196,CE,Restaurantes e outros serviços de alimentação e bebidas,1480,3,0,22442,0.06594777649050887,0
197,CE,Outras atividades de serviços pessoais,1391,4,0,22442,0.06198199803939043,0
198,CE,Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico,994,6,0,22442,0.044291952588895823,0
199,CE,"Comércio varejista de produtos alimentícios, bebidas e fumo",1103,5,0,22442,0.04914891720880492,0
200,CE,"Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos",699,7,0,22442,0.03114695659923358,0
201,CE,Confecção de artigos do vestuário e acessórios,635,10,0,22442,0.028295160859103465,0
202,CE,Outros,10875,11,0,22442,0.4845824792799216,0
203,BA,Comércio varejista de produtos novos não especificados anteriormente e de produtos usados,3349,1,0,34483,0.0971203201577589,0
204,BA,Restaurantes e outros serviços de alimentação e bebidas,2130,3,0,34483,0.06176956761302671,0
205,BA,Comércio varejista não-especializado,1801,5,0,34483,0.0522286343995592,0
206,BA,"Comércio varejista de produtos alimentícios, bebidas e fumo",1955,4,0,34483,0.056694603137778035,0
207,BA,Outras atividades de serviços pessoais,2190,2,0,34483,0.06350955543311197,0
